county,totalcountconfirmed,totalcountdeaths,newcountconfirmed,newcountdeaths,date,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,population,confirmedper100k,newlyconfirmedper100k,deathper100k,newdeath100k,7dayrollingavg_newlyconfirmed,7dayrollingavg_newdeath,7dayrollingavg_newlyconfirmed_rawnumber,7dayrollingavg_newdeath_rawnumber
San Bernardino,159883.0,1327.0,5611,4,2020-12-19,0.027,0.022,0.048,0.134,0.768,2180085,7333.7966180217745,257.3752858260114,60.86918629319499,0.18347908453110773,223.7265322878957,0.733916338124431,4877.428571428572,16.0
San Bernardino,162810.0,1327.0,2927,0,2020-12-20,0.027,0.022,0.048,0.134,0.768,2180085,7468.057438127412,134.2608201056381,60.86918629319499,0.0,236.50453996059787,0.6814937425441144,5156.0,14.857142857142858
San Bernardino,165086.0,1375.0,2276,48,2020-12-21,0.027,0.022,0.048,0.134,0.768,2180085,7572.457037225613,104.39959909820031,63.070935307568284,2.2017490143732927,235.4757465223342,0.8780784759703012,5133.571428571428,19.142857142857142
San Bernardino,169266.0,1387.0,4180,12,2020-12-22,0.027,0.022,0.048,0.134,0.768,2180085,7764.192680560621,191.73564333500758,63.62137256116161,0.5504372535933232,207.84248582705985,0.956712369340776,4531.142857142857,20.857142857142858
San Bernardino,172888.0,1407.0,3622,20,2020-12-23,0.027,0.022,0.048,0.134,0.768,2180085,7930.332991603538,166.14031104291806,64.53876798381714,0.9173954226555388,192.14847127520258,0.6749409180965749,4189.0,14.714285714285714
San Bernardino,176866.0,1420.0,3978,13,2020-12-24,0.027,0.022,0.048,0.134,0.768,2180085,8112.802941169725,182.46994956618664,65.13507500854324,0.5963070247261001,177.1097391680993,0.6356239714113375,3861.1428571428573,13.857142857142858
San Bernardino,181812.0,1420.0,4946,0,2020-12-25,0.027,0.022,0.048,0.134,0.768,2180085,8339.67482919244,226.8718880227147,65.13507500854324,0.0,180.46478528523951,0.6356239714113375,3934.285714285714,13.857142857142858
San Bernardino,185111.0,1429.0,3299,9,2020-12-26,0.027,0.022,0.048,0.134,0.768,2180085,8490.99920415947,151.3243749670311,65.54790294873824,0.41282794019499236,165.31465516252806,0.6683880936490353,3604.0,14.571428571428571
San Bernardino,186776.0,1437.0,1665,8,2020-12-27,0.027,0.022,0.048,0.134,0.768,2180085,8567.372373095544,76.3731689360736,65.91486111780046,0.36695816906221546,157.04499070973313,0.7208106892293519,3423.714285714286,15.714285714285714
San Bernardino,188919.0,1437.0,2143,0,2020-12-28,0.027,0.022,0.048,0.134,0.768,2180085,8665.671292633086,98.29891953754097,65.91486111780046,0.0,156.17346505821038,0.40627511574745284,3404.714285714286,8.857142857142858
San Bernardino,190476.0,1438.0,1557,1,2020-12-29,0.027,0.022,0.048,0.134,0.768,2180085,8737.090526286818,71.41923365373368,65.96073088893323,0.04586977113277693,138.9854065323141,0.33419404682451764,3030.0,7.285714285714286
San Bernardino,194034.0,1442.0,3558,4,2020-12-30,0.027,0.022,0.048,0.134,0.768,2180085,8900.295171977239,163.20464569042034,66.14420997346433,0.18347908453110773,138.5660257676716,0.2293488556638847,3020.8571428571427,5.0
San Bernardino,199115.0,1445.0,5081,3,2020-12-31,0.027,0.022,0.048,0.134,0.768,2180085,9133.359479102879,233.0643071256396,66.28181928686267,0.1376093133983308,145.7937911333077,0.16382061118848903,3178.4285714285716,3.5714285714285716
San Bernardino,203651.0,1445.0,4536,0,2021-01-01,0.027,0.022,0.048,0.134,0.768,2180085,9341.424760961154,208.06528185827617,66.28181928686267,0.0,143.1071331098165,0.16382061118848903,3119.8571428571427,3.5714285714285716
San Bernardino,206939.0,1445.0,3288,0,2021-01-02,0.027,0.022,0.048,0.134,0.768,2180085,9492.244568445727,150.81980748457053,66.28181928686267,0.0,143.03505204089356,0.10484519116063298,3118.285714285714,2.2857142857142856
San Bernardino,208271.0,1447.0,1332,2,2021-01-03,0.027,0.022,0.048,0.134,0.768,2180085,9553.343103594585,61.09853514885888,66.37355882912823,0.09173954226555386,140.8529614998629,0.06552824447539561,3070.714285714286,1.4285714285714286
San Bernardino,210868.0,1449.0,2597,2,2021-01-04,0.027,0.022,0.048,0.134,0.768,2180085,9672.466899226407,119.12379563182171,66.46529837139377,0.09173954226555386,143.82794379904584,0.07863389337047474,3135.5714285714284,1.7142857142857142
San Bernardino,212522.0,1450.0,1654,1,2021-01-05,0.027,0.022,0.048,0.134,0.768,2180085,9748.33550068002,75.86860145361305,66.51116814252656,0.04586977113277693,144.4635677704572,0.07863389337047474,3149.4285714285716,1.7142857142857142
San Bernardino,215286.0,1454.0,2764,4,2021-01-06,0.027,0.022,0.048,0.134,0.768,2180085,9875.119548091014,126.78404741099546,66.69464722705766,0.18347908453110773,139.2606251591108,0.07863389337047474,3036.0,1.7142857142857142
San Bernardino,219691.0,1454.0,4405,0,2021-01-07,0.027,0.022,0.048,0.134,0.768,2180085,10077.175889930897,202.05634183988238,66.69464722705766,0.0,134.83091583257402,0.05897542002785605,2939.4285714285716,1.2857142857142858
San Bernardino,224267.0,1486.0,4576,32,2021-01-08,0.027,0.022,0.048,0.134,0.768,2180085,10287.075962634484,209.90007270358726,68.16247990330652,1.4678326762488618,135.0930288104756,0.268665802349122,2945.1428571428573,5.857142857142857
San Bernardino,228857.0,1520.0,4590,34,2021-01-09,0.027,0.022,0.048,0.134,0.768,2180085,10497.61821213393,210.54224949944611,69.72205212182094,1.5595722185144156,143.6248062411721,0.4914618335654671,3131.1428571428573,10.714285714285714
San Bernardino,232171.0,1531.0,3314,11,2021-01-10,0.027,0.022,0.048,0.134,0.768,2180085,10649.630633667954,152.01242153402276,70.22661960428148,0.5045674824605463,156.61250429619554,0.5504372535933232,3414.285714285714,12.0
